Top  Combinations
------------------
Combination	Error
('FTM_responder_4', 'FTM_responder_3', 'FTM_responder_0')		13.53
('FTM_responder_7', 'FTM_responder_3', 'FTM_responder_13')		13.89
('FTM_responder_7', 'FTM_responder_0', 'FTM_responder_8')		13.90
('FTM_responder_7', 'FTM_responder_8', 'FTM_responder_13')		13.92
('FTM_responder_7', 'FTM_responder_0', 'FTM_responder_13')		13.95
('FTM_responder_4', 'FTM_responder_14', 'FTM_responder_13')		14.01
('FTM_responder_7', 'FTM_responder_9', 'FTM_responder_14')		14.10
('FTM_responder_4', 'FTM_responder_3', 'FTM_responder_2')		14.13
('FTM_responder_10', 'FTM_responder_2', 'FTM_responder_13')		14.28
('FTM_responder_7', 'FTM_responder_9', 'FTM_responder_13')		14.37
('FTM_responder_10', 'FTM_responder_14', 'FTM_responder_8')		14.57
('FTM_responder_10', 'FTM_responder_7', 'FTM_responder_0')		14.58
('FTM_responder_4', 'FTM_responder_7', 'FTM_responder_0')		14.64
('FTM_responder_10', 'FTM_responder_3', 'FTM_responder_13')		14.64
('FTM_responder_7', 'FTM_responder_3', 'FTM_responder_2')		14.80
('FTM_responder_9', 'FTM_responder_8', 'FTM_responder_13')		14.93
('FTM_responder_9', 'FTM_responder_14', 'FTM_responder_13')		15.17
('FTM_responder_7', 'FTM_responder_0', 'FTM_responder_2')		15.19
('FTM_responder_10', 'FTM_responder_0', 'FTM_responder_2')		15.50
('FTM_responder_10', 'FTM_responder_2', 'FTM_responder_14')		15.95
('FTM_responder_7', 'FTM_responder_14', 'FTM_responder_13')		16.03
('FTM_responder_10', 'FTM_responder_3', 'FTM_responder_0')		16.13
('FTM_responder_0', 'FTM_responder_14', 'FTM_responder_13')		16.39
('FTM_responder_7', 'FTM_responder_3', 'FTM_responder_0')		16.40
('FTM_responder_10', 'FTM_responder_3', 'FTM_responder_14')		16.41
('FTM_responder_10', 'FTM_responder_8', 'FTM_responder_13')		16.80
('FTM_responder_3', 'FTM_responder_14', 'FTM_responder_13')		18.01
('FTM_responder_14', 'FTM_responder_8', 'FTM_responder_13')		18.23
('FTM_responder_2', 'FTM_responder_14', 'FTM_responder_13')		18.64
('FTM_responder_10', 'FTM_responder_3', 'FTM_responder_2')		18.71
('FTM_responder_10', 'FTM_responder_14', 'FTM_responder_13')		19.00
('FTM_responder_10', 'FTM_responder_0', 'FTM_responder_13')		20.20
('FTM_responder_10', 'FTM_responder_0', 'FTM_responder_14')		20.21
('FTM_responder_3', 'FTM_responder_2', 'FTM_responder_14')		20.42
('FTM_responder_3', 'FTM_responder_2', 'FTM_responder_13')		23.55
